id,period_id,number,color,scraped_at
6161,20250826100011341,9,GREEN,2025-08-26 22:21:04.093009+00
6162,20250826100011342,4,RED,2025-08-26 22:22:06.933166+00
6163,20250826100011343,6,RED,2025-08-26 22:23:09.769172+00
6164,20250826100011344,4,RED,2025-08-26 22:24:12.509211+00
6165,20250826100011345,4,RED,2025-08-26 22:25:15.260083+00
6166,20250826100011346,9,GREEN,2025-08-26 22:26:18.065094+00
6167,20250826100011347,4,RED,2025-08-26 22:27:20.790779+00
6168,20250826100011348,7,GREEN,2025-08-26 22:28:23.560975+00
6169,20250826100011349,4,RED,2025-08-26 22:29:26.398238+00
6170,20250826100011350,9,GREEN,2025-08-26 22:30:30.778216+00
6171,20250826100011351,4,RED,2025-08-26 22:31:33.556925+00
6172,20250826100011352,5,VIOLET,2025-08-26 22:32:36.327227+00
6173,20250826100011353,0,VIOLET,2025-08-26 22:33:38.991753+00
6174,20250826100011354,4,RED,2025-08-26 22:34:41.812589+00
6175,20250826100011355,5,VIOLET,2025-08-26 22:35:44.551464+00
6176,20250826100011356,2,RED,2025-08-26 22:36:47.372736+00
6177,20250826100011357,8,RED,2025-08-26 22:37:50.139663+00
6178,20250826100011358,1,GREEN,2025-08-26 22:38:53.232287+00
6179,20250826100011359,2,RED,2025-08-26 22:39:56.063096+00
6180,20250826100011361,6,RED,2025-08-26 22:40:58.94196+00
6181,20250826100011360,7,GREEN,2025-08-26 22:40:58.941982+00
6182,20250826100011362,6,RED,2025-08-26 22:42:02.167406+00
6183,20250826100011363,9,GREEN,2025-08-26 22:43:05.205822+00
6184,20250826100011364,2,RED,2025-08-26 22:44:08.60573+00
6185,20250826100011365,6,RED,2025-08-26 22:45:11.918085+00
6186,20250826100011366,6,RED,2025-08-26 22:46:18.190079+00
6187,20250826100011367,7,GREEN,2025-08-26 22:47:21.747876+00
6188,20250826100011368,1,GREEN,2025-08-26 22:48:25.25222+00
6189,20250826100011369,1,GREEN,2025-08-26 22:49:28.304754+00
6190,20250826100011370,8,RED,2025-08-26 22:50:31.376048+00
6191,20250826100011371,4,RED,2025-08-26 22:51:34.383185+00
6192,20250826100011372,1,GREEN,2025-08-26 22:52:37.276124+00
6193,20250826100011373,3,GREEN,2025-08-26 22:53:40.344518+00
6194,20250826100011374,1,GREEN,2025-08-26 22:54:43.177121+00
6195,20250826100011375,1,GREEN,2025-08-26 22:55:46.19134+00
6196,20250826100011376,0,VIOLET,2025-08-26 22:56:49.004095+00
6197,20250826100011377,8,RED,2025-08-26 22:57:51.850834+00
6198,20250826100011378,0,VIOLET,2025-08-26 22:58:54.558241+00
6199,20250826100011379,2,RED,2025-08-26 22:59:57.31114+00
6200,20250826100011381,3,GREEN,2025-08-26 23:01:00.204804+00
6201,20250826100011380,2,RED,2025-08-26 23:01:00.204827+00
6202,20250826100011382,1,GREEN,2025-08-26 23:02:03.113909+00
6203,20250826100011383,5,VIOLET,2025-08-26 23:03:05.8709+00
